index,Skip,Prompts,sd_model_checkpoint
11,TRUE,"(masterpiece, top quality, best quality, official art, beautiful and aesthetic:1.2), (1girl:1.3), extreme detailed,colorful,highest detailed ((ultra-detailed)), (highly detailed CG illustration), ((an extremely delicate and beautiful)),(from side),cinematic light,((1mechanical girl)),solo,full body,(machine made joints:1.2),((machanical limbs)),(blood vessels connected to tubes),(mechanical vertebra attaching to back),((mechanical cervial attaching to neck)),(sitting),expressionless,(wires and cables attaching to neck:1.2),(wires and cables on head:1.2)(character focus),science fiction,white background,(blood:1.5)",majicmixRealistic_v6.safetensors
12,TRUE,"(simple background:1.2), (isometric 3d art of floating rock citadel), cobblestone, flowers, verdant, stone, moss, fish pool, (waterfall:1.2), cottage",majicmixRealistic_v6.safetensors
13,TRUE,"best quality, masterpiece, ultra high res, photorealistic, 1girl, offshoulder, smile",majicmixRealistic_v6.safetensors
14,TRUE,"(masterpiece, top quality, best quality, official art, beautiful and aesthetic:1.2), (1girl), extreme detailed,(fractal art:1.3),colorful,highest detailed",majicmixRealistic_v6.safetensors
15,TRUE,"(masterpiece, best quality, ultra-detailed, best shadow), (detailed background,dark fantasy), (beautiful detailed face), high contrast, (best illumination, an extremely delicate and beautiful), ((cinematic light)), colorful, hyper detail, dramatic light, intricate details, (1 girl, solo,black hair, sharp face,low twintails,red eyes, hair between eyes,dynamic angle), blood splatter, swirling black light around the character, depth of field,black light particles,(broken glass),magic circle,",majicmixRealistic_v6.safetensors
16,TRUE,"1girl,feature article or story,(RAW photo, best quality),(realistic, photo-realistic:1.3),(extremely delicate and beautiful:1.1),Amazing,finely detail,masterpiece,ultra-detailed,highres,best illustration,best shadow,intricate,(extremely intricate:1.2),(exquisitely detailed skin),cinematic light,perfect anatomy,(coolcolor:1.4),sharp focus,volumetric fog,8k UHD,DSLR,high quality,( film grain:1.4),Fujifilm XT3,butterfly",majicmixRealistic_v6.safetensors
17,TRUE,"a 20 yo woman, blonde, (hi-top fade:1.3), dark theme, soothing tones, muted colors, high contrast, (natural skin texture, hyperrealism, soft light, sharp)",majicmixRealistic_v6.safetensors
18,TRUE,"masterpiece, best quality, 1girl, (colorful),(finely detailed beautiful eyes and detailed face),cinematic lighting,bust shot,extremely detailed CG unity 8k wallpaper,white hair,solo,smile,intricate skirt,((flying petal)),(Flowery meadow) sky, cloudy_sky, building, moonlight, moon, night, (dark theme:1.3), light, fantasy,",majicmixRealistic_v6.safetensors
19,TRUE,"abstract 1998 european blond hiphop girl by sachin teng x supreme, attractive, stylish, designer, green, asymmetrical, geometric shapes, graffiti, street art",majicmixRealistic_v6.safetensors
20,TRUE,"_james jean, floating female figure made of ribbons, smoke, in the sky, colorful and vibrant, mystical colors, contemporary impressionism, yanjun cheng portrait painting, iridescent painting, 3/4 perspective view, cute face, low angle, sweeping circling composition, large beautiful crystal eyes, big irises, UHD, HDR, 8K, (Masterpiece:1. 5), (the most beautiful portrait in the world:1.5)",majicmixRealistic_v6.safetensors
21,TRUE,"shukezouma, octane render, hdr, (hyperdetailed:1.15), (soft light, sharp:1.2), 1girl, beautiful girl, ultra detailed eyes, mature, plump, thick, rainbow painting drops, paint teardrops, woman made up from paint, entirely paint, splat, splash, long colored hair, kimono made from paint, ultra detailed texture kimono, rainbow paint kimono, paint bulb, paint drops, (hair ornaments, earrings, flowers hair ornaments, butterflies hair ornaments), outdoors, sakura trees",majicmixRealistic_v6.safetensors
22,TRUE,"masterpiece, best quality, ultra-detailed, illustration, 1girl, solo, outdoors, camping, night, mountains, nature, stars, moon, tent, twin ponytails, green eyes, cheerful, happy, backpack, sleeping bag, camping stove, water bottle, mountain boots, gloves, sweater, hat, flashlight, forest, rocks, river, wood, smoke, shadows, contrast, clear sky, constellations, Milky Way, peaceful, serene, quiet, tranquil, remote, secluded, adventurous, exploration, escape, independence, survival, resourcefulness, challenge, perseverance, stamina, endurance, observation, intuition, adaptability, creativity, imagination, artistry, inspiration, beauty, awe, wonder, gratitude, appreciation, relaxation, enjoyment, rejuvenation, mindfulness, awareness, connection, harmony, balance, texture, detail, realism, depth, perspective, composition, color, light, shadow, reflection, refraction, tone, contrast, foreground, middle ground, background, naturalistic, figurative, representational, impressionistic, expressionistic, abstract, innovative, experimental, unique",majicmixRealistic_v6.safetensors
23,TRUE,"(masterpiece, best quality:1.3), (flat color:1.3),(colorful:1.3),looking at viewer,1girl,solo,floating colorful water,(2D:1.3)",majicmixRealistic_v6.safetensors
24,TRUE,"masterpiece, best quality, ultra high res, 1girl, (abstract art:1.4), bleeding blue, blue theme, visually stunning, beautiful, evocative, emotional, side view",majicmixRealistic_v6.safetensors
25,TRUE,"masterpiece, best quality, ultra high res, beautiful, elegant, graceful, award-winning art, 1girl, (style of Yuko Shimizu:1.4), (abstract art:1.2), style of rebecca guay, black hair, red eyes, fire, cloaked in flames, dark theme, visually stunning, gorgeous",majicmixRealistic_v6.safetensors
26,TRUE,"(masterpiece, top quality, best quality, official art, beautiful and aesthetic:1.2), (1girl:1.3), extreme detailed,colorful,highest detailed,(watercolour painting:1.3), optical mixing, playful patterns, lively texture, rich colors, unique visual effect",majicmixRealistic_v6.safetensors
27,TRUE,"(masterpiece, top quality, best quality, official art, beautiful and aesthetic:1.2), (1girl:1.3), extremely detailed,(fractal art:1.1),(colorful:1.1)(flowers:1.3),highest detailed,(zentangle:1.2), (dynamic pose), (abstract background:1.3), (shiny skin), (many colors:1.4), ,(earrings:1.4), (feathers:1.4)",majicmixRealistic_v6.safetensors
28,TRUE,"1mechanical girl,((ultra realistic details)), portrait, detailed face,global illumination, shadows, octane render, 8k, ultra sharp,metal,intricate, ornaments detailed, cold colors, egypician detail, highly intricate details, realistic light, trending on cgsociety, glowing eyes, facing camera, neon details, machanical limbs,blood vessels connected to tubes,mechanical cervial attaching to neck,wires and cables connecting to head,blood,killing machine",majicmixRealistic_v6.safetensors
29,TRUE,"a girl, illustration , cover art , (((red))) , portrait , red background , red splash",majicmixRealistic_v6.safetensors
0,TRUE,"(masterpiece, best quality),1girl with long white hair sitting in a field of green plants and flowers, her hand under her chin, warm lighting, white dress, blurry foreground",dreamshaper_7.safetensors
1,TRUE,"realistic, 1girl, white hair, purple eyes, glowing eyes, crop top, skirt, parted lips, blush, night, flowers, sun, sunlight,",dreamshaper_7.safetensors
2,TRUE,"(RAW photo, best quality), (realistic, photo-realistic:1.2), 1girl, high quality, (high detailed skin:1.4), puffy eyes, gorgeous hair,(dark room:1.3), (rim lighting:1.3), (dimly lit:1.3), (dark night:1.3), indoors, portrait, black hair, dark background, short hair,",dreamshaper_7.safetensors
3,TRUE,"8k beautiful 1girl with long red long hair, H. R. Giger style, intricate, elegant, highly detailed, green eyes, majestic, digital photography, (masterpiece, sidelighting, finely detailed beautiful green eyes: 1.0), hdr, blurry, blurry_background, blurry_foreground, branch, cherry_blossoms, depth_of_field, looking_at_viewer, motion_blur, photo_\(medium\), photo_background, solo, tree, vibrant details, luxurious, absurdres, incredibly absurdres, white stocking, (realistic, photo-realistic:1), finely detail, best quality, lace, hyperrealistic, anatomical, facial muscles, extremely detailed CG unity 8k wallpaper, octane render, elegant, depth_of_field, blue butterfly, looking_at_viewer, extremely detailed,",dreamshaper_7.safetensors
4,TRUE,"(masterpiece, best quality:1.1), bird's eye view, asymmetrical, blue ocean, low tide, sea waves, coastal road, sandy beach, piers, sailboats, yachts, ship wake, contrail, cars, tourists, lighthouse, seagulls, horizon, breeze, summer, morning, sunny, cloud, calm, fresh air, depth of field",dreamshaper_7.safetensors
5,TRUE,"a cute kitten made out of metal, (cyborg:1.1), ([tail | detailed wire]:1.3), (intricate details), hdr, (intricate details, hyperdetailed:1.2), cinematic shot, vignette, centered",dreamshaper_7.safetensors
6,TRUE,"8k portrait of beautiful cyborg with brown hair, intricate, elegant, highly detailed, majestic, digital photography, art by artgerm and ruan jia and greg rutkowski surreal painting gold butterfly filigree, broken glass, (masterpiece, sidelighting, finely detailed beautiful eyes: 1.2), hdr,",dreamshaper_7.safetensors
7,TRUE,"fashion photography portrait of blue human avatar, in blue lush jungle with flowers and birds, 3d render, cgi, symetrical, octane render, 35mm, bokeh, 9:16, (intricate details:1.12), hdr, (intricate details, hyperdetailed:1.15), (natural skin texture, hyperrealism, soft light, sharp:1.2)",dreamshaper_7.safetensors
8,TRUE,"masterpiece, best quality, ultra-detailed, illustration, 1girl, solo, fantasy, flying, broom, night sky, outdoors, magic, spells, moon, stars, clouds, wind, hair, cape, hat, boots, broomstick, glowing, mysterious, enchanting, whimsical, playful, adventurous, freedom, wonder, imagination, determination, skill, speed, movement, energy, realism, naturalistic, figurative, representational, beauty, fantasy culture, mythology, fairy tales, folklore, legends, witches, wizards, magical creatures, fantasy worlds,",dreamshaper_7.safetensors
9,TRUE,"best quality, masterpiece, (photorealistic:1.4), 1girl, light smile, shirt with collars, waist up, dramatic lighting, from below",dreamshaper_7.safetensors
10,TRUE,"((best quality)), ((masterpiece)), (detailed), alluring succubus, ethereal beauty, perched on a cloud, (fantasy illustration:1.3), enchanting gaze, captivating pose, delicate wings, otherworldly charm, mystical sky, (Luis Royo:1.2), (Yoshitaka Amano:1.1), moonlit night, soft colors, (detailed cloudscape:1.3), (high-resolution:1.2)",dreamshaper_7.safetensors
11,TRUE,"(masterpiece, top quality, best quality, official art, beautiful and aesthetic:1.2), (1girl:1.3), extreme detailed,colorful,highest detailed ((ultra-detailed)), (highly detailed CG illustration), ((an extremely delicate and beautiful)),(from side),cinematic light,((1mechanical girl)),solo,full body,(machine made joints:1.2),((machanical limbs)),(blood vessels connected to tubes),(mechanical vertebra attaching to back),((mechanical cervial attaching to neck)),(sitting),expressionless,(wires and cables attaching to neck:1.2),(wires and cables on head:1.2)(character focus),science fiction,white background,(blood:1.5)",dreamshaper_7.safetensors
12,TRUE,"(simple background:1.2), (isometric 3d art of floating rock citadel), cobblestone, flowers, verdant, stone, moss, fish pool, (waterfall:1.2), cottage",dreamshaper_7.safetensors
13,TRUE,"best quality, masterpiece, ultra high res, photorealistic, 1girl, offshoulder, smile",dreamshaper_7.safetensors
14,TRUE,"(masterpiece, top quality, best quality, official art, beautiful and aesthetic:1.2), (1girl), extreme detailed,(fractal art:1.3),colorful,highest detailed",dreamshaper_7.safetensors
15,TRUE,"(masterpiece, best quality, ultra-detailed, best shadow), (detailed background,dark fantasy), (beautiful detailed face), high contrast, (best illumination, an extremely delicate and beautiful), ((cinematic light)), colorful, hyper detail, dramatic light, intricate details, (1 girl, solo,black hair, sharp face,low twintails,red eyes, hair between eyes,dynamic angle), blood splatter, swirling black light around the character, depth of field,black light particles,(broken glass),magic circle,",dreamshaper_7.safetensors
16,TRUE,"1girl,feature article or story,(RAW photo, best quality),(realistic, photo-realistic:1.3),(extremely delicate and beautiful:1.1),Amazing,finely detail,masterpiece,ultra-detailed,highres,best illustration,best shadow,intricate,(extremely intricate:1.2),(exquisitely detailed skin),cinematic light,perfect anatomy,(coolcolor:1.4),sharp focus,volumetric fog,8k UHD,DSLR,high quality,( film grain:1.4),Fujifilm XT3,butterfly",dreamshaper_7.safetensors
17,TRUE,"a 20 yo woman, blonde, (hi-top fade:1.3), dark theme, soothing tones, muted colors, high contrast, (natural skin texture, hyperrealism, soft light, sharp)",dreamshaper_7.safetensors
18,TRUE,"masterpiece, best quality, 1girl, (colorful),(finely detailed beautiful eyes and detailed face),cinematic lighting,bust shot,extremely detailed CG unity 8k wallpaper,white hair,solo,smile,intricate skirt,((flying petal)),(Flowery meadow) sky, cloudy_sky, building, moonlight, moon, night, (dark theme:1.3), light, fantasy,",dreamshaper_7.safetensors
19,TRUE,"abstract 1998 european blond hiphop girl by sachin teng x supreme, attractive, stylish, designer, green, asymmetrical, geometric shapes, graffiti, street art",dreamshaper_7.safetensors
20,TRUE,"_james jean, floating female figure made of ribbons, smoke, in the sky, colorful and vibrant, mystical colors, contemporary impressionism, yanjun cheng portrait painting, iridescent painting, 3/4 perspective view, cute face, low angle, sweeping circling composition, large beautiful crystal eyes, big irises, UHD, HDR, 8K, (Masterpiece:1. 5), (the most beautiful portrait in the world:1.5)",dreamshaper_7.safetensors
21,TRUE,"shukezouma, octane render, hdr, (hyperdetailed:1.15), (soft light, sharp:1.2), 1girl, beautiful girl, ultra detailed eyes, mature, plump, thick, rainbow painting drops, paint teardrops, woman made up from paint, entirely paint, splat, splash, long colored hair, kimono made from paint, ultra detailed texture kimono, rainbow paint kimono, paint bulb, paint drops, (hair ornaments, earrings, flowers hair ornaments, butterflies hair ornaments), outdoors, sakura trees",dreamshaper_7.safetensors
22,TRUE,"masterpiece, best quality, ultra-detailed, illustration, 1girl, solo, outdoors, camping, night, mountains, nature, stars, moon, tent, twin ponytails, green eyes, cheerful, happy, backpack, sleeping bag, camping stove, water bottle, mountain boots, gloves, sweater, hat, flashlight, forest, rocks, river, wood, smoke, shadows, contrast, clear sky, constellations, Milky Way, peaceful, serene, quiet, tranquil, remote, secluded, adventurous, exploration, escape, independence, survival, resourcefulness, challenge, perseverance, stamina, endurance, observation, intuition, adaptability, creativity, imagination, artistry, inspiration, beauty, awe, wonder, gratitude, appreciation, relaxation, enjoyment, rejuvenation, mindfulness, awareness, connection, harmony, balance, texture, detail, realism, depth, perspective, composition, color, light, shadow, reflection, refraction, tone, contrast, foreground, middle ground, background, naturalistic, figurative, representational, impressionistic, expressionistic, abstract, innovative, experimental, unique",dreamshaper_7.safetensors
23,TRUE,"(masterpiece, best quality:1.3), (flat color:1.3),(colorful:1.3),looking at viewer,1girl,solo,floating colorful water,(2D:1.3)",dreamshaper_7.safetensors
24,TRUE,"masterpiece, best quality, ultra high res, 1girl, (abstract art:1.4), bleeding blue, blue theme, visually stunning, beautiful, evocative, emotional, side view",dreamshaper_7.safetensors
25,TRUE,"masterpiece, best quality, ultra high res, beautiful, elegant, graceful, award-winning art, 1girl, (style of Yuko Shimizu:1.4), (abstract art:1.2), style of rebecca guay, black hair, red eyes, fire, cloaked in flames, dark theme, visually stunning, gorgeous",dreamshaper_7.safetensors
26,TRUE,"(masterpiece, top quality, best quality, official art, beautiful and aesthetic:1.2), (1girl:1.3), extreme detailed,colorful,highest detailed,(watercolour painting:1.3), optical mixing, playful patterns, lively texture, rich colors, unique visual effect",dreamshaper_7.safetensors
27,TRUE,"(masterpiece, top quality, best quality, official art, beautiful and aesthetic:1.2), (1girl:1.3), extremely detailed,(fractal art:1.1),(colorful:1.1)(flowers:1.3),highest detailed,(zentangle:1.2), (dynamic pose), (abstract background:1.3), (shiny skin), (many colors:1.4), ,(earrings:1.4), (feathers:1.4)",dreamshaper_7.safetensors
